Test ID,GWD (m),Elevation,L (km),Slope (%),PGA (g),Target
28588,2.013049603,3.412992954,1.312924216,0.772087634,0.410624564,0
11126,1.740453959,3.877583265,1.914055018,0.287043005,0.397951484,0
11024,1.614657521,2.910918713,0.406272064,1.367713571,0.443142682,1
15585,1.827587724,3.182435989,1.364846073,0.621487617,0.410624564,0
2155,1.891551375,3.113040924,0.418926253,1.959844947,0.443142682,1
2153,1.957263827,3.422723532,0.415193619,2.375374794,0.439840794,1
42859,1.706641078,3.497735739,1.70619762,1.597630858,0.40425545,1
43682,2.17121911,3.664282084,1.297460348,0.355935782,0.413823247,0
49558,2.545945883,3.62695694,0.9163896,1.995172024,0.420246005,0
1429,1.782553196,3.016300678,0.416119946,2.120065689,0.443142682,1
43683,2.067875862,3.560169458,1.322726209,1.313166738,0.410624564,0
42858,1.430037498,3.361688375,1.685321514,1.591269493,0.40425545,0
13863,1.781972885,4.060425758,2.00871299,1.042969108,0.397951484,0
1456,2.01668191,3.232739925,1.19011135,1.101118922,0.413823247,0
2154,1.678734541,3.1152215,0.439982692,1.434911489,0.443142682,1
32858,1.845725417,3.858753443,1.808698347,0.25629732,0.401091814,0
3688,2.067875862,3.300616503,1.330282988,1.181141853,0.410624564,0
30789,1.845170736,3.270700216,0.350317188,2.540794134,0.449760497,1
30754,1.861493587,3.42586565,0.356524675,2.574817657,0.446449399,1
43681,2.211298943,3.669342756,1.309415694,0.151489511,0.410624564,0
39840,1.872396708,3.702320814,0.371059976,4.170825481,0.446449399,1
2245,1.732139349,3.187533855,0.440628931,2.689858675,0.443142682,1
25890,1.678734541,3.532936335,0.441096352,2.765475512,0.443142682,1
32857,1.839729548,3.758492708,1.794019844,0.050876789,0.401091814,0
43677,2.067875862,3.503570318,1.326555967,0.537745833,0.410624564,0
25893,2.086325645,3.546515703,1.359676414,0.50897038,0.410624564,0
32815,1.845725417,3.858865976,1.833071293,0.283491015,0.401091814,0
24458,1.782553196,3.371385813,0.424108513,1.256931186,0.443142682,1
51788,2.356594563,4.052146912,0.446155422,0.531599998,0.439840794,1
48148,2.561306,4.127048969,0.457901705,1.141096473,0.433257848,0
2310,2.152835846,3.872184753,0.444154998,0.56017071,0.439840794,1
4507,2.115847588,3.458698511,1.25984902,0.3480151,0.413823247,0
32816,1.759446979,3.82428503,1.829650846,0.680764139,0.401091814,0
25896,2.186487675,3.596913576,1.370897201,0.50897038,0.410624564,0
39839,2.147705078,3.844278097,0.392689841,0.492837846,0.446449399,1
30788,1.81356895,3.447350025,0.378497769,0.368747085,0.449760497,1
10842,2.229807377,3.373758554,1.109355871,0.307691485,0.417029738,1
14965,1.670255423,3.599645853,1.861076236,0.363386661,0.401091814,1
13868,1.775796175,3.956091881,1.973520003,0.401445776,0.397951484,0
15775,1.484126329,2.971621275,0.373704269,0.944229126,0.456394821,1
3966,1.993765116,3.537622452,0.387517614,0.993149996,0.446449399,1
31422,2.089444876,3.749475002,1.511463533,0.509020746,0.407434672,0
25899,2.244078159,3.830136299,0.46433604,1.373780847,0.443142682,1
11027,1.71990335,3.142649889,0.395749133,0.464573056,0.449760497,1
11122,1.785696745,3.831648588,1.901686204,0.941721439,0.401091814,0
16521,1.815014005,3.20821023,1.447743006,0.683189869,0.410624564,0
51741,2.080964565,3.398355007,1.349440401,0.11652635,0.410624564,0
26729,2.367941141,4.097901821,0.488282749,0.802222729,0.439840794,0
2669,2.475186348,4.117676735,0.490996831,1.155510783,0.439840794,0
38302,2.507278442,4.07739687,0.494753114,0.881119132,0.443142682,0
54576,2.136317253,3.42764926,1.337458134,0.520273626,0.412959874,0
6369,2.255179882,4.064714909,0.487078148,0.743258595,0.442358166,1
31423,2.067810059,3.473109722,1.495493777,0.84193325,0.409766793,0
26728,2.475186348,4.113041878,0.497953706,0.465726614,0.442358166,0
54577,2.265366316,3.580910921,1.325770694,0.520273626,0.412959874,0
14502,1.156603932,2.90069747,1.70286976,1.379293203,0.406587869,0
17456,2.276734829,3.641907692,1.279228283,0.630362689,0.416165769,0
25905,1.747517705,3.32047677,1.440648722,0.369449705,0.412959874,0
25908,2.011185646,3.454452276,1.418765128,0.51898098,0.412959874,0
30077,2.382155418,4.150000095,0.469746413,0.479200453,0.449029982,0
30078,2.382155418,4.151955128,0.470645341,0.479200453,0.449029982,0
42715,2.136317253,3.502857924,1.337931745,0.25570634,0.412959874,0
25909,2.001905441,3.568556786,1.500044512,1.271251082,0.409766793,0
25910,2.104807854,3.506573439,1.390984584,0.247517228,0.412959874,0
25912,2.001905441,3.351403713,1.47890212,1.18958056,0.412959874,0
2790,2.235888004,3.54430604,1.255828307,1.037460446,0.416165769,0
2442,2.35583806,3.481622934,1.066977322,1.435959458,0.419384867,1
3973,2.443757057,4.333881855,0.498691805,0.237342909,0.445692569,0
49557,2.472430229,3.943771839,0.868781829,0.249298871,0.42586422,1
30072,2.443757057,4.220663548,0.490115599,0.599329174,0.449029982,0
30074,2.443757057,4.220663548,0.491492293,0.599329174,0.449029982,0
923,1.666250229,3.513009071,1.831222987,0.294798911,0.403426379,0
32605,2.346718788,3.961523294,1.571875163,0.690963447,0.409766793,0
42716,2.198228598,3.70665884,1.348365525,0.350375473,0.412959874,0
35075,2.264042616,4.13043642,0.550911328,0.76322031,0.442358166,0
42907,1.734017968,3.624350309,1.876118927,0.808806479,0.403426379,0
2951,2.088191986,3.701461792,1.636216429,1.539408207,0.409766793,0
50386,1.753172398,4.180346489,2.063879215,0.470413983,0.400285363,0
50408,1.753172398,4.180346489,2.063612351,0.470413983,0.400285363,0
25914,2.104807854,3.589878082,1.395103487,0.871269166,0.412959874,0
42905,1.617349029,3.576305389,1.856871392,0.672839344,0.403426379,0
2172,2.28467226,3.799046993,0.494441744,1.265170455,0.449029982,1
32604,2.194070339,3.756247044,1.605652398,1.481014013,0.409766793,0
5319,2.252724171,3.50778079,1.02245813,0.631280363,0.42261681,1
3960,2.475631475,4.479842186,0.561349113,0.958778322,0.445692569,0
50411,1.87455368,4.16732645,2.052455392,0.470413983,0.400285363,0
50391,1.87455368,4.16732645,2.052662895,0.470413983,0.400285363,0
35074,2.246248007,4.015212536,0.561546208,0.439428836,0.442358166,0
2150,2.266334534,4.026760578,0.533346889,0.465325922,0.445692569,0
25077,2.607737541,3.835291386,1.169065404,0.807157218,0.419384867,1
14484,1.558906555,3.648807526,2.000139072,0.892193735,0.400285363,0
29496,2.402407646,4.129405499,0.566798072,0.707579494,0.442358166,0
2148,2.362756014,4.213033199,0.555625122,0.37665984,0.445692569,0
44253,1.664938211,3.732913733,1.924948875,1.009708524,0.403426379,0
42906,1.543639541,3.553856611,1.883870408,0.762815535,0.403426379,0
34451,1.984831095,3.47766757,0.485716965,2.0139153,0.452367663,1
50409,1.704535961,4.071820259,2.083791685,0.166697592,0.400285363,0
50380,1.704535961,4.071820259,2.083881765,0.166697592,0.400285363,0
2151,2.475631475,4.248110294,0.575335715,0.219922334,0.445692569,0
3870,2.218013763,3.435721159,1.278368933,0.445394367,0.416165769,1
8103,2.362756014,4.109852314,0.5632784,0.37665984,0.445692569,0
50379,1.87455368,4.089454174,2.074667415,0.347937524,0.400285363,0
50410,1.87455368,4.089454174,2.074611715,0.347937524,0.400285363,0
32635,2.065351009,3.566732168,1.615548216,0.691410601,0.409766793,0
44251,1.664938211,3.602223873,1.917608076,1.105232,0.403426379,0
15774,1.493546963,3.142120838,0.525838185,0.702643633,0.455702156,1
41404,2.519046307,3.951309681,1.143559656,0.875318944,0.419384867,1
29497,2.234715462,4.088639736,0.58309836,0.484674335,0.442358166,1
2794,2.063423634,3.477419376,1.495430651,0.858597517,0.412959874,0
41249,2.439255238,4.356936455,0.586206593,0.247898906,0.445692569,1
8102,1.265591383,2.658696413,0.473375133,0.464927465,0.459036142,1
2433,2.667807579,3.80350399,1.03695085,2.293465614,0.42261681,1
44252,1.474182844,3.525507212,1.906921203,0.700807631,0.403426379,0
41403,2.714285851,4.010528088,1.158879341,0.23164697,0.419384867,1
2149,2.331630707,3.998991489,0.556285381,1.249959707,0.445692569,1
25076,2.588604927,3.926039219,1.205731362,2.130747318,0.419384867,1
25920,2.093906403,3.588053465,1.498825616,0.858597517,0.412959874,0
30542,1.494012475,3.471603155,1.832453783,0.494653553,0.403426379,0
49562,1.474182844,3.466429234,1.896245322,0.39961344,0.403426379,0
41958,2.667807579,4.085144997,1.074550851,0.548523247,0.42261681,1
25923,2.319049358,3.794035196,1.03653286,2.051496744,0.42261681,1
37927,1.647541285,3.754353762,1.982751696,0.659495056,0.400285363,0
49564,1.46467638,3.458539486,1.891038958,0.307739168,0.403426379,0
37928,1.651435852,3.652688742,1.95333297,0.603555918,0.403426379,0
49563,1.46467638,3.531478167,1.874478262,0.56623733,0.403426379,0
25926,2.093906403,3.742045641,1.537919389,0.95489043,0.409766793,0
32240,2.319049358,3.716693878,1.02935948,1.449010253,0.42261681,1
41250,2.477081537,4.346417427,0.616650638,1.695750117,0.445692569,0
1432,0.963999987,2.606539249,0.328746324,0.884648621,0.462374508,1
25927,1.675884485,-3.40282E+22,2.275664172,0,0.397168368,0
2312,2.132531166,4.248343945,0.575152144,0.960304856,0.449029982,1
30543,1.423505187,3.530585766,1.835340944,0.61523658,0.403426379,0
2954,1.668366909,3.376325369,1.731299085,0.490586519,0.406587869,0
3975,2.118897915,3.967033148,0.634952779,1.326748967,0.445692569,1
49556,2.341721058,4.100481033,0.813700247,0.243194759,0.429129392,1
2146,1.138929009,2.396690607,0.363987284,1.089472175,0.462374508,1
32871,2.286690235,3.834492683,1.032866924,0.307762742,0.42261681,1
34455,2.027234077,3.719183683,0.558585017,0.486418664,0.452367663,1
49473,2.791044712,4.254334927,0.633422526,3.098276615,0.439030647,0
32241,2.453015327,4.008993149,1.062629517,1.151034355,0.42261681,1
3826,2.084394455,3.43023777,1.421393696,0.383671165,0.412959874,1
32872,2.453015327,3.793407202,1.04932855,0.307762742,0.42261681,1
25931,2.644145489,4.03407383,1.083346084,0.372104108,0.42261681,1
9801,2.282888889,3.493129253,1.216536768,0.741965413,0.419384867,1
37376,1.668366909,3.404229403,1.738812742,0.864991009,0.408893406,0
48153,2.161127329,3.75999999,0.959330505,0.086140551,0.428259611,1
37377,1.749884367,3.473583221,1.738878448,0.864991009,0.408893406,0
921,2.154858112,3.403439999,1.319897596,0.305828512,0.418502361,1
2952,1.381970167,3.242977858,1.854670414,0.893773079,0.405725569,0
34768,2.511713505,3.724077702,1.131114297,0.550357461,0.421737373,1
9016,1.353115201,2.983760834,0.461061849,0.327672839,0.461705178,1
34816,2.198552132,3.905926943,0.65790065,1.773431063,0.448301941,1
2311,2.111807346,4.038520813,0.597503759,0.463059247,0.451667398,1
30059,1.427753925,3.033670902,0.515013735,0.508782387,0.461705178,1
34767,2.373440266,3.764583111,1.14645573,0.550357461,0.421737373,1
17306,1.427753925,3.171171904,0.538525368,0.273184866,0.458367974,1
37378,1.749884367,3.564379454,1.730312668,0.425772101,0.408893406,0
37379,1.749884367,3.578580379,1.729749425,0.425772101,0.408893406,0
7653,1.308305979,3.407287836,1.975678105,0.661418259,0.405725569,1
2147,1.251307845,2.610486031,0.381282314,1.031658053,0.465040505,1
5039,1.308305979,3.407287836,1.981016756,0.661418259,0.405725569,1
48154,2.213378429,4.184948921,0.754003753,0.430585384,0.434867561,1
34815,2.186666965,4.08961916,0.677875532,0.547803044,0.444931805,1
30060,1.427753925,3.0493927,0.522711019,0.508782387,0.461705178,1
8093,2.204764843,3.539714336,1.445435751,0.773315191,0.415283442,1
39239,1.353115201,2.974587679,0.490100263,0.059907373,0.461705178,1
51095,2.33297205,3.686505079,1.221527508,0.807575047,0.421737373,1
2462,2.141989231,3.99726367,0.634180544,0.365269333,0.448301941,1
9014,1.353115201,2.950061083,0.479753724,0.445521086,0.461705178,1
34727,1.505049348,3.195245981,0.55690798,0.533379078,0.458367974,1
54574,2.546451092,4.002182007,1.099204948,0.440736622,0.424988836,1
34454,2.01916647,3.883468866,0.601065802,0.521884084,0.451667398,1
6620,2.215196133,3.7159307,1.586318516,0.544996023,0.412079692,1
3723,1.238773108,3.33301115,1.905409252,1.210541487,0.405725569,0
41171,1.557681322,-3.40282E+22,2.296445101,0,0.396350145,0
3695,2.177605152,3.692480087,1.489946695,0.651762605,0.415283442,1
41969,1.251307845,2.891931057,0.405233658,1.162940264,0.465040505,1
34766,2.373440266,3.727036476,1.157093736,0.813545585,0.421737373,1
41970,1.324392438,2.979265213,0.427302088,0.629628122,0.461705178,1
2785,1.972597361,3.687674999,1.682388447,0.213323295,0.412079692,1
51094,2.468793869,3.694149971,1.243751831,0.394865543,0.421737373,1
34453,1.981626391,3.706743479,0.614698109,1.898605466,0.455023468,1
2336,1.140941739,2.904960394,0.445690637,0.768529534,0.461705178,1
26723,1.408043504,3.464608192,1.865822759,0.840595067,0.405725569,1
54575,2.390180588,3.802863598,1.121305258,0.462282777,0.424988836,1
27611,1.587371707,3.501282692,1.843400218,0.541324317,0.408893406,1
2789,2.191655636,3.7621665,1.568043435,0.190071344,0.412079692,1
39238,1.226830602,2.972282887,0.501273012,0.406228036,0.461705178,1
7501,1.108662367,2.911974907,0.476992841,0.64928627,0.461705178,1
39642,1.609098077,3.499500275,1.815779512,0.353852004,0.408893406,1
34726,1.452264786,3.214281559,0.583459988,0.773975253,0.458367974,1
2783,2.259572506,3.741884947,1.490858439,0.651762605,0.415283442,1
51100,2.455596924,3.708396912,1.241282639,0.261723757,0.421737373,1
38297,2.390180588,3.972633362,1.106694288,0.693547308,0.424988836,1
25942,1.504245758,-3.40282E+22,2.125139216,0,0.402577728,1
25944,1.677719593,-3.40282E+22,2.160769077,0,0.399452031,1
17305,1.349188209,3.186815023,0.560093442,0.903772116,0.458367974,1
34728,1.881645203,3.921089411,0.664625006,0.545134902,0.448301941,1
2168,1.108662367,2.73866868,0.476856198,0.670127809,0.461705178,1
2341,1.349188209,3.177418947,0.562588014,0.903772116,0.458367974,1
30058,1.349188209,2.990281582,0.542019317,0.81863755,0.461705178,1
34731,2.062301159,4.070688248,0.674282599,0.560611665,0.448301941,1
34725,1.452264786,3.146538496,0.57450513,0.898168325,0.458367974,1
2795,2.081422329,3.685741901,1.632203373,0.579153478,0.412079692,1
25946,2.307002068,4.023269176,1.011990717,0.977658927,0.428259611,1
48155,2.27127099,4.39607048,0.699147168,1.571115613,0.441564053,1
2340,1.515666008,3.294356823,0.63941595,1.006961107,0.458367974,1
